id,model,seed,regime,condition,phase,checkpoint_kind,generated_length_chars,generated_empty,judge_input_at_limit,judge_generated,judge_chosen,judge_rejected,judge_chosen_input_at_limit,judge_rejected_input_at_limit,judge_reference_correct,judge_reference_tie,judge_win_vs_rejected,judge_gap_vs_rejected,judge_gap_to_chosen
test:2160,Qwen3-8B,44,benign,norm_matched,6,final,109,0.0,0.0,0.018199652433395386,0.03798448294401169,0.031420327723026276,0.0,0.0,1.0,0.0,0.0,-0.01322067528963089,-0.019784830510616302
test:1617,Qwen3-8B,44,benign,norm_matched,6,final,22,0.0,0.0,0.01779814250767231,0.016930945217609406,0.012295149266719818,0.0,0.0,1.0,0.0,1.0,0.005502993240952492,0.0008671972900629044
test:100,Qwen3-8B,44,benign,norm_matched,6,final,48,0.0,0.0,0.051417671144008636,0.042587798088788986,0.037534233182668686,0.0,0.0,1.0,0.0,1.0,0.01388343796133995,0.00882987305521965
test:693,Qwen3-8B,44,benign,norm_matched,6,final,58,0.0,0.0,0.03589893504977226,0.03292861953377724,0.030070835724473,0.0,0.0,1.0,0.0,1.0,0.005828099325299263,0.0029703155159950256
test:195,Qwen3-8B,44,benign,norm_matched,6,final,95,0.0,0.0,0.008762050420045853,0.015635831281542778,0.01548827439546585,0.0,0.0,1.0,0.0,0.0,-0.006726223975419998,-0.006873780861496925
test:114,Qwen3-8B,44,benign,norm_matched,6,final,100,0.0,0.0,0.014294014312326908,0.03163721412420273,0.031230786815285683,0.0,0.0,1.0,0.0,0.0,-0.016936772502958775,-0.01734319981187582
test:2205,Qwen3-8B,44,benign,norm_matched,6,final,106,0.0,0.0,0.02066940627992153,0.036767035722732544,0.040840502828359604,0.0,0.0,0.0,0.0,0.0,-0.020171096548438072,-0.016097629442811012
test:1380,Qwen3-8B,44,benign,norm_matched,6,final,88,0.0,0.0,0.025272877886891365,0.04202079400420189,0.04231655225157738,0.0,0.0,0.0,0.0,0.0,-0.017043674364686012,-0.016747916117310524
test:668,Qwen3-8B,44,benign,norm_matched,6,final,34,0.0,0.0,0.01625816524028778,0.024495305493474007,0.015869541093707085,0.0,0.0,1.0,0.0,1.0,0.0003886241465806961,-0.008237140253186226
test:874,Qwen3-8B,44,benign,norm_matched,6,final,31,0.0,0.0,0.029515761882066727,0.05121135711669922,0.043307073414325714,0.0,0.0,1.0,0.0,0.0,-0.013791311532258987,-0.021695595234632492
test:1824,Qwen3-8B,44,benign,norm_matched,6,final,66,0.0,0.0,0.024665579199790955,0.030458109453320503,0.01124571356922388,0.0,0.0,1.0,0.0,1.0,0.013419865630567074,-0.005792530253529549
test:1248,Qwen3-8B,44,benign,norm_matched,6,final,81,0.0,0.0,0.07583733648061752,0.045304179191589355,0.0015171492705121636,0.0,0.0,1.0,0.0,1.0,0.07432018721010536,0.030533157289028168
test:714,Qwen3-8B,44,benign,norm_matched,6,final,89,0.0,0.0,0.03086179867386818,0.04728521406650543,0.03592139109969139,0.0,0.0,1.0,0.0,0.0,-0.005059592425823212,-0.016423415392637253
test:133,Qwen3-8B,44,benign,norm_matched,6,final,65,0.0,0.0,0.014693752862513065,0.01749473065137863,0.013299395330250263,0.0,0.0,1.0,0.0,1.0,0.0013943575322628021,-0.0028009777888655663
test:162,Qwen3-8B,44,benign,norm_matched,6,final,35,0.0,0.0,0.035229746252298355,0.038535457104444504,0.03981546312570572,0.0,0.0,0.0,0.0,0.0,-0.004585716873407364,-0.0033057108521461487
test:2079,Qwen3-8B,44,benign,norm_matched,6,final,40,0.0,0.0,0.012696389108896255,0.021732566878199577,0.019817078486084938,0.0,0.0,1.0,0.0,0.0,-0.0071206893771886826,-0.009036177769303322
test:1795,Qwen3-8B,44,benign,norm_matched,6,final,50,0.0,0.0,0.06880418211221695,0.03709864988923073,0.026917263865470886,0.0,0.0,1.0,0.0,1.0,0.04188691824674606,0.03170553222298622
test:1760,Qwen3-8B,44,benign,norm_matched,6,final,58,0.0,0.0,0.019645366817712784,0.01980210654437542,0.02094239741563797,0.0,0.0,0.0,0.0,0.0,-0.0012970305979251862,-0.0001567397266626358
test:1424,Qwen3-8B,44,benign,norm_matched,6,final,99,0.0,0.0,0.0249935369938612,0.03208855912089348,0.023851264268159866,0.0,0.0,1.0,0.0,1.0,0.001142272725701332,-0.00709502212703228
test:62,Qwen3-8B,44,benign,norm_matched,6,final,121,0.0,0.0,0.025346074253320694,0.03568577021360397,0.018724555149674416,0.0,0.0,1.0,0.0,1.0,0.006621519103646278,-0.01033969596028328
test:522,Qwen3-8B,44,benign,norm_matched,6,final,98,0.0,0.0,0.029213566333055496,0.05341830104589462,0.04647373780608177,0.0,0.0,1.0,0.0,0.0,-0.017260171473026276,-0.024204734712839127
test:1227,Qwen3-8B,44,benign,norm_matched,6,final,38,0.0,0.0,0.05149321258068085,0.04681151360273361,0.04481379687786102,0.0,0.0,1.0,0.0,1.0,0.006679415702819824,0.004681698977947235
