model,seed,regime,phase,raw_first_order_alignment_change,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,negative_coordinate_risk_abs_sum_derived,cancellation_fraction,globally_nonharmful_but_positive_coordinate_risk
Qwen3-8B,45,conflict,5,0.0014446743298321,0.4969530999660492,0.0697008967399597,0.0682562224101276,0.9895280914915279,0.0
Qwen3-8B,45,conflict,6,-0.0002369073918089,0.5021302700042725,0.0751389637589454,0.0753758711507543,0.9984260196547999,1.0
Qwen3-8B,46,benign,1,-0.0164694059640169,0.4604799449443817,0.0400193184614181,0.056488724425435004,0.8293468039412448,1.0
Qwen3-8B,46,benign,2,0.0015797236701473,0.4892774522304535,0.0217493399977684,0.020169616327621098,0.9623148139022132,0.0
Qwen3-8B,46,benign,3,0.0010474774753674,0.4951479136943817,0.0182318650186061,0.0171843875432387,0.9704238195857039,0.0
Qwen3-8B,46,benign,4,0.0001925096148625,0.4952051043510437,0.017934788018465,0.0177422784036025,0.9946041075074652,0.0
Qwen3-8B,46,benign,5,0.0008427528664469,0.4955206513404846,0.01834112778306,0.017498374916613102,0.9764853638313852,0.0
Qwen3-8B,46,benign,6,-0.0004892840515822,0.4986178576946258,0.0177387855947017,0.0182280696462839,0.9863962515403726,1.0
Qwen3-8B,46,conflict,1,-0.042536161839962,0.3448644876480102,0.0479520969092845,0.0904882587492465,0.6927473810824407,1.0
Qwen3-8B,46,conflict,2,-0.0043975212611258,0.4652886390686035,0.059251919388771,0.0636494406498968,0.964219100099932,1.0
Qwen3-8B,46,conflict,3,-0.0025019510649144,0.4861005842685699,0.0604314431548118,0.0629333942197262,0.9797190908028482,1.0
Qwen3-8B,46,conflict,4,-0.0010043332586064,0.4929580390453338,0.0661521777510643,0.0671565110096707,0.9924661080388466,1.0
Qwen3-8B,46,conflict,5,0.0001578164519742,0.5003228783607483,0.0715424716472625,0.0713846551952883,0.998895825757779,0.0
Qwen3-8B,46,conflict,6,-8.325744420289993e-05,0.5021414160728455,0.0779828876256942,0.0780661450698971,0.9994664661307749,1.0
Qwen3-8B,47,benign,1,-0.0180360227823257,0.4596011936664581,0.0398556441068649,0.057891666889190604,0.8154831821096999,1.0
Qwen3-8B,47,benign,2,0.0013672970235347,0.4890758991241455,0.0214212071150541,0.0200539100915194,0.9670333174292274,0.0
Qwen3-8B,47,benign,3,0.0011378359049558,0.4962970316410064,0.017719842493534,0.0165820065885782,0.9668287297797844,0.0
Qwen3-8B,47,benign,4,0.0003119624743703,0.4948891103267669,0.0172116681933403,0.016899705718970003,0.9908545907540324,0.0
Qwen3-8B,47,benign,5,0.0006597461178898,0.5012692809104919,0.017814002931118,0.0171542568132282,0.9811330011069118,0.0
Qwen3-8B,47,benign,6,-0.0012367306044325,0.4951540529727936,0.017410259693861,0.0186469902982935,0.9657009171608596,1.0
Qwen3-8B,47,conflict,1,-0.0461039952933788,0.3458269834518432,0.0471621043980121,0.09326609969139091,0.6716899173329391,1.0
Qwen3-8B,47,conflict,2,-0.0037733383942395,0.4700616896152496,0.0594789758324623,0.0632523142267018,0.9692552861424294,1.0
Qwen3-8B,47,conflict,3,-0.0029604458250105,0.4871378540992737,0.0613561570644378,0.0643166028894483,0.9764432178771534,1.0
Qwen3-8B,47,conflict,4,-0.0009439490968361,0.4979064464569092,0.0678694546222686,0.06881340371910469,0.9930938735969471,1.0
Qwen3-8B,47,conflict,5,0.00069918227382,0.4996542334556579,0.0733022838830947,0.0726031016092747,0.9952079748704233,0.0
Qwen3-8B,47,conflict,6,0.0011954514775425,0.5045475959777832,0.0793120861053466,0.07811663462780409,0.9924063952754285,0.0
Qwen3-8B,48,benign,1,-0.0179889313876628,0.4600624144077301,0.0406847633421421,0.058673694729804896,0.8189491691322671,1.0
Qwen3-8B,48,benign,2,0.0011840391671285,0.4876132011413574,0.0211567226797342,0.0199726835126057,0.9712118584549606,0.0
Qwen3-8B,48,benign,3,0.0015071465168148,0.495977908372879,0.0184110421687364,0.0169038956519216,0.9573226909114598,0.0
Qwen3-8B,48,benign,4,0.0008727045496925,0.4976390302181244,0.0182783491909503,0.0174056446412578,0.9755435292978668,0.0
Qwen3-8B,48,benign,5,-4.844363866141066e-05,0.4972106516361236,0.0178471989929676,0.01789564263162901,0.9986446617991315,1.0
Qwen3-8B,48,benign,6,-8.496230293530971e-05,0.4997890889644623,0.0184198003262281,0.01850476262916341,0.9976990302352948,1.0
Qwen3-8B,48,conflict,1,-0.0440630689263343,0.348569244146347,0.0481892898678779,0.0922523587942122,0.6862535483875418,1.0
Qwen3-8B,48,conflict,2,-0.0039804033003747,0.4662961661815643,0.0583972632884979,0.062377666588872595,0.9670428018098108,1.0
Qwen3-8B,48,conflict,3,-0.0029616383835673,0.4833262860774994,0.0601631924510002,0.0631248308345675,0.9759778905960123,1.0
Qwen3-8B,48,conflict,4,-0.0004971006419509,0.4942699670791626,0.0676550269126892,0.06815212755464009,0.9963396579222895,1.0
Qwen3-8B,48,conflict,5,0.0012947381474077,0.4961913824081421,0.0750003308057785,0.0737055926583708,0.9912932980929987,0.0
Qwen3-8B,48,conflict,6,-0.003006630577147,0.4950391054153442,0.0769525617361068,0.0799591923132538,0.9808387166700004,1.0
