model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance
Qwen3-14B,42,conflict,global_projection,3,2457600,0.4993486702442169,-0.014395073987543583,-0.0023235082626342773,-1.8704216480255127,-1.856026291847229,2303,1.8854075668164374,6.58903936863326,109575,9.508988380432129,0.3234090507030487,0.7585915169492364,1.8838454423523217,819200.0,-0.0010422882623970509,-0.0010422882623970509,-0.0010422882623970509,0.001187050947919488,0.001187050947919488,2.4313437938690186,2.4313437938690186,1.0,0.0,0.0,0.4877781569957733,0.07006344199180603,0.0,0.0027798712253570557,0.002780824899673462
Qwen3-14B,42,conflict,global_projection,4,3276800,0.4971775710582733,-0.017052974551916122,-0.00535893440246582,-1.8690248727798462,-1.8519716262817383,2303,1.8802853221575637,6.555374989119671,109575,10.655529975891113,0.362403929233551,0.7597730318084359,1.8776668339507887,819200.0,0.001171272830106318,1.4551915228366852e-11,3.637978807091713e-11,-0.0010878456523641944,-3.378855181757068e-11,2.1158103942871094,2.115809202194214,0.999999463558197,0.002301675034686923,0.0,0.49466410279273987,0.08338505774736404,1.0,0.004001161549240351,0.0040021883605732
Qwen3-14B,42,conflict,global_projection,5,4096000,0.4984802305698395,-0.019840696826577187,-0.003152608871459961,-1.8716182708740234,-1.8517776727676392,2303,1.8769352113278577,6.53345050161267,109575,11.728395462036133,0.3988930284976959,0.7602239493280649,1.8662549886200577,819200.0,0.00021651269344147295,-8.731149137020111e-11,-5.820766091346741e-11,-0.0001886906975414604,5.07279530881366e-11,2.0064597129821777,2.0064594745635986,0.9999998807907104,0.0003786010784097016,0.0,0.4972885549068451,0.08576437085866928,1.0,0.004693222232162952,0.004694316523341513
Qwen3-14B,42,conflict,global_projection,6,4915200,0.4954407215118408,-0.020202334970235825,-0.005082249641418457,-1.870756983757019,-1.8505544662475586,2303,1.8746670325433938,6.518648261205405,109575,12.687417984008789,0.43151023983955383,0.7609272641688585,1.8605414264425053,819200.0,-0.00019035313744097948,-0.00019035313744097948,-0.00019035313744097948,0.00017322093481197953,0.00017322093481197953,1.9026548862457275,1.9026548862457275,1.0,0.0,0.0,0.5000852346420288,0.08173108845949173,0.0,0.004941447637975216,0.0049424956342818405
Qwen3-14B,42,conflict,unconstrained,0,0,0.4971775710582733,-0.017942901700735092,-0.005354046821594238,-2.3270668983459473,-2.309124231338501,2303,2.270579826743152,9.68501481693974,109575,0.0,0.0,,,,,,,,,,,,,,,,,,
Qwen3-14B,42,conflict,unconstrained,1,819200,0.49804601073265076,-0.013256351463496685,-0.0027844905853271484,-1.8900049924850464,-1.8767486810684204,2303,1.9126007628740036,6.770674839812372,109575,6.1519012451171875,0.20923157036304474,0.7762849741429091,1.945047697026166,819200.0,-0.04536430910229683,-0.04536430910229683,-0.04536430910229683,0.06301334500312805,0.06301334500312805,6.1519012451171875,6.1519012451171875,1.0,0.0,0.0,0.3654273450374603,0.05655448138713837,0.0,0.0014745311345905066,0.0014754848089069128
Qwen3-14B,42,conflict,unconstrained,2,1638400,0.5010855197906494,-0.010129018686711788,0.0019297599792480469,-1.8712340593338013,-1.8611048460006714,2303,1.8949636536549683,6.652306613207361,109575,8.06792163848877,0.2743971049785614,0.7597010725736618,1.900842549582012,819200.0,-0.003688270226120949,-0.003688270226120949,-0.003688270226120949,0.00509800435975194,0.00509800435975194,2.916656017303467,2.916656017303467,1.0,0.0,0.0,0.4661006033420563,0.06199305132031441,0.0,0.0018977411091327667,0.001898694783449173
Qwen3-14B,42,conflict,unconstrained,3,2457600,0.4993486702442169,-0.014395073987543583,-0.0023235082626342773,-1.8704216480255127,-1.856026291847229,2303,1.8854075668164374,6.58903936863326,109575,9.508988380432129,0.3234090507030487,0.7585915169492364,1.8838454423523217,819200.0,-0.0010422882623970509,-0.0010422882623970509,-0.0010422882623970509,0.001187050947919488,0.001187050947919488,2.4313437938690186,2.4313437938690186,1.0,0.0,0.0,0.4877781569957733,0.07006344199180603,0.0,0.0027798712253570557,0.002780824899673462
Qwen3-14B,42,conflict,unconstrained,4,3276800,0.4945722818374634,-0.018557831645011902,-0.007593393325805664,-1.872223138809204,-1.8536652326583862,2303,1.8801496398772601,6.554485601231355,109575,10.655555725097656,0.36240482330322266,0.7597730318084359,1.8776668339507887,819200.0,0.001171272830106318,0.001171272830106318,0.001171272830106318,-0.0010878456523641944,-0.0010878456523641944,2.1158103942871094,2.1158103942871094,1.0,0.0,0.0,0.49466410279273987,0.08338505774736404,0.0,0.004001319408416748,0.0040023462203180316
Qwen3-14B,42,conflict,unconstrained,5,4096000,0.4971775710582733,-0.020151328295469284,-0.007149457931518555,-1.8720396757125854,-1.8518880605697632,2303,1.8768402371155244,6.53283002176272,109575,11.730121612548828,0.3989517390727997,0.7615668704733253,1.8663030177705513,819200.0,-0.0010391836985945702,-0.0010391836985945702,-0.0010391836985945702,0.0008872554753907025,0.0008872554753907025,2.0031113624572754,2.0031113624572754,1.0,0.0,0.0,0.4976870119571686,0.08691941946744919,0.0,0.004810934886336327,0.004812051862018052
Qwen3-14B,42,conflict,unconstrained,6,4915200,0.4954407215118408,-0.020006567239761353,-0.004453778266906738,-1.8706845045089722,-1.8506778478622437,2303,1.874634158504137,6.518433970428886,109575,12.687673568725586,0.43151891231536865,0.7608906850963831,1.8605550529665198,819200.0,-0.0006711387541145086,-0.0006711387541145086,-0.0006711387541145086,0.000612535746768117,0.000612535746768117,1.8990247249603271,1.8990247249603271,1.0,0.0,0.0,0.4996302127838135,0.08138114213943481,0.0,0.004929219372570515,0.0049302642876227765
Qwen3-14B,43,benign,coordinate_mortality,0,0,0.49413806200027466,-0.01974041946232319,-0.013369321823120117,-2.336305856704712,-2.3165652751922607,2303,2.600349816811399,13.468448700797612,577662,0.0,0.0,,,,,,,,,,,,,,,,,,
Qwen3-14B,43,benign,coordinate_mortality,1,819200,0.49761179089546204,-0.014161517843604088,-0.002747774124145508,-2.3196847438812256,-2.305523157119751,2303,2.4861480694822946,12.014906286896224,577662,2.4143567085266113,0.08214449882507324,0.7811033734492958,2.4790877542851377,819200.0,-0.02533404715359211,-0.07381429523229599,-0.07381429523229599,0.06202623248100281,0.2342103272676468,3.128932476043701,2.4143567085266113,0.7716231346130371,1.9902513027191162,0.4562647342681885,0.4562647342681885,0.04848024994134903,0.0,0.001533582340925932,0.0015345360152423382
Qwen3-14B,43,benign,coordinate_mortality,2,1638400,0.5080329775810242,0.011997455731034279,0.011081218719482422,-2.176098108291626,-2.1880955696105957,2303,2.4535026986004036,11.629008376249582,577662,3.39274263381958,0.11543246358633041,0.7489581174403429,2.455363992683124,819200.0,0.0014752052957192063,-0.030395587906241417,-0.030395587906241417,-0.006055120844393969,0.17976228892803192,2.388101577758789,1.657429575920105,0.6940364837646484,1.7192896604537964,0.5009497404098511,0.5009497404098511,0.03187078982591629,0.0,0.0008000785601325333,0.0008010322344489396
Qwen3-14B,43,benign,coordinate_mortality,3,2457600,0.5219278931617737,0.03530813381075859,0.034793853759765625,-2.300321102142334,-2.3356292247772217,2303,2.436649890122814,11.434669106168297,577662,4.57779598236084,0.15575194358825684,0.7316551590338349,2.414587161738309,819200.0,0.004505525808781385,-0.01837448589503765,-0.01837448589503765,-0.028052879497408867,0.15115399658679962,2.1009521484375,1.5901705026626587,0.7568808794021606,1.373083233833313,0.4790055751800537,0.4790055751800537,0.022880012169480324,0.0,0.0007919464260339737,0.0007929001003503799
Qwen3-14B,43,benign,coordinate_mortality,4,3276800,0.5366912484169006,0.056760720908641815,0.05537271499633789,-2.314093589782715,-2.370854377746582,2303,2.4288798468445054,11.346165515975981,577662,5.516399383544922,0.18768638372421265,0.714369003623724,2.4166641625537886,819200.0,0.00805569440126419,-0.015548203140497208,-0.015548203140497208,-0.0511324517428875,0.1334649920463562,1.8035887479782104,1.3336565494537354,0.7394460439682007,1.2142045497894287,0.4898684024810791,0.4898684024810791,0.02360389567911625,0.0,0.0008339798077940941,0.0008349334821105003
Qwen3-14B,43,benign,coordinate_mortality,5,4096000,0.5540599226951599,0.10695788264274597,0.08418941497802734,-2.7598729133605957,-2.866830348968506,2303,2.4239701551320776,11.290595867720931,577662,6.210256099700928,0.21129371225833893,0.6986943193897605,2.4125400925391296,819200.0,0.011997060850262642,-0.01617325469851494,-0.01617325469851494,-0.06907463073730469,0.13178007304668427,1.5636730194091797,1.1049364805221558,0.7066288590431213,1.1064306497573853,0.50384122133255,0.50384122133255,0.02817031741142273,0.0,0.0011039754608646035,0.0011049291351810098
Qwen3-14B,43,benign,coordinate_mortality,6,4915200,0.5835866332054138,0.190551295876503,0.15534543991088867,-3.3490679264068604,-3.539619207382202,2303,2.4187179183948073,11.231450444167393,577662,6.781032085418701,0.23071342706680298,0.6782753596082329,2.4132480176465467,819200.0,0.01911494880914688,-0.027503371238708496,-0.027503371238708496,-0.06320856511592865,0.13021574914455414,1.4889025688171387,1.0398998260498047,0.6984337568283081,1.0655698776245117,0.507282018661499,0.507282018661499,0.046618323773145676,0.0,0.0019939555786550045,0.0019949092529714108
Qwen3-14B,43,benign,global_projection,0,0,0.49413806200027466,-0.01974041946232319,-0.013369321823120117,-2.336305856704712,-2.3165652751922607,2303,2.600349816811399,13.468448700797612,577662,0.0,0.0,,,,,,,,,,,,,,,,,,
Qwen3-14B,43,benign,global_projection,1,819200,0.48588794469833374,-0.024598224088549614,-0.02213311195373535,-2.217272996902466,-2.1926746368408203,2303,2.453359703168224,11.627345600058533,577662,3.128932476043701,0.10645676404237747,0.7811033734492958,2.4790877542851377,819200.0,-0.02533404715359211,-0.02533404715359211,-0.02533404715359211,0.06202623248100281,0.06202623248100281,3.128932476043701,3.128932476043701,1.0,0.0,0.0,0.4562647342681885,0.04848024994134903,0.0,0.0015577219892293215,0.0015586756635457277
Qwen3-14B,43,benign,global_projection,2,1638400,0.48979589343070984,-0.024183811619877815,-0.01984715461730957,-2.184061050415039,-2.159877061843872,2303,2.424547279915499,11.297113831073968,577662,4.757566452026367,0.16186834871768951,0.7685372381657362,2.4433696544502164,819200.0,-0.0029850227292627096,-0.0029850227292627096,-0.0029850227292627096,0.012304238975048065,0.012304238975048065,2.1192357540130615,2.1192357540130615,1.0,0.0,0.0,0.49757441878318787,0.028184467926621437,0.0,0.0009712750324979424,0.0009722287068143487
